"","TMCF10","TMCF11","TMCF12","TMCF1","TMCF2","TMCF3","TMCF4","TMCF5","TMCF6","TMCF7","TMCF8","TMCF9","TMCG10","TMCG12","TMCG1","TMCG3","TMCG4","TMCG5","TMCG6","TMCG7","TMCG8","TMCG9","TMCJ10","TMCJ11","TMCJ12","TMCJ1","TMCJ2","TMCJ3","TMCJ4","TMCJ5","TMCJ6","TMCJ7","TMCJ8","TMCJ9","TMCK10","TMCK11","TMCK12","TMCK1","TMCK2","TMCK3","TMCK4","TMCK5","TMCK6","TMCK7","TMCK8","TMCK9","TMCSGendoF10","TMCSGendoF11","TMCSGendoF12","TMCSGendoF1","TMCSGendoF2","TMCSGendoF3","TMCSGendoF4","TMCSGendoF5","TMCSGendoF6","TMCSGendoF7","TMCSGendoF8","TMCSGendoF9","TMCSGendoG10","TMCSGendoG11","TMCSGendoG12","TMCSGendoG1","TMCSGendoG2","TMCSGendoG3","TMCSGendoG4","TMCSGendoG5","TMCSGendoG6","TMCSGendoG7","TMCSGendoG8","TMCSGendoG9","TMCSGendoJ10","TMCSGendoJ11","TMCSGendoJ12","TMCSGendoJ1","TMCSGendoJ3","TMCSGendoJ4","TMCSGendoJ5","TMCSGendoJ6","TMCSGendoJ7","TMCSGendoJ8","TMCSGendoJ9","TMCSGendoK10","TMCSGendoK11","TMCSGendoK12","TMCSGendoK1","TMCSGendoK2","TMCSGendoK3","TMCSGendoK4","TMCSGendoK5","TMCSGendoK6","TMCSGendoK7","TMCSGendoK8","TMCSGendoK9"
"849156",1,0,1,0,0,1,1,1,0,1,10,4,0,1,0,0,0,0,0,0,1,0,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,2,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
"849683",1,0,0,1,0,4,0,0,0,0,1,0,3,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"849821",9,5,6,8,4,1,4,3,5,5,7,9,1,5,2,1,6,4,4,1,7,6,1,2,0,1,5,1,5,2,2,1,3,5,3,8,0,2,5,0,3,2,3,2,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"849836",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"849863",26,11,8,2,12,7,6,11,11,12,22,26,10,12,7,4,11,15,5,12,6,4,9,3,3,4,14,8,7,10,4,14,6,12,6,8,16,8,10,9,9,21,13,23,15,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"850135",0,1,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"850305",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"850572",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56,0,0,0
"850823",2,0,2,2,0,12,0,0,0,3,0,0,8,4,4,0,0,14,2,0,0,3,1,1,0,0,0,0,0,0,0,1,0,5,3,3,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"850971",2,1,0,0,2,0,2,0,4,4,12,3,3,3,3,1,4,4,0,0,2,1,1,1,0,0,1,1,1,0,2,0,0,0,1,1,0,2,1,2,6,0,1,2,0,0,12,14,12,41,59,9,3,27,48,173,598,5,0,6,40,19,0,32,8,70,0,9,8,3,5,75,0,6,0,5,35,12,9,9,1,6,0,14,110,52,55,630,10,6,25,7,0
