,Kingdom,Phylum,Class,Order,Family,Genus,Species 
OTU4274,Fungi,Ascomycota,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified
OTU4278,Fungi,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified
OTU4277,Fungi,Ascomycota,Sordariomycetes,Unclassified,Unclassified,Unclassified,Unclassified
OTU4275,Fungi,Basidiomycota,Tremellomycetes,Tremellales,Bulleraceae,Genolevuria,Genolevuria_amylolytica_SH213903.07FU
OTU4276,Fungi,Ascomycota,Eurotiomycetes,Chaetothyriales,Cyphellophoraceae,Cyphellophora,Unclassified
OTU4280,Fungi,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified
OTU4279,Fungi,Glomeromycota,Paraglomeromycetes,Paraglomerales,Unclassified,Unclassified,Unclassified
OTU4281,Fungi,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified
OTU4283,Fungi,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified
OTU4282,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Clavariaceae,Unclassified,Unclassified
OTU4284,Fungi,Glomeromycota,Paraglomeromycetes,Paraglomerales,Unclassified,Unclassified,Unclassified
OTU4285,Fungi,Basidiomycota,Agaricomycetes,Trechisporales,Hydnodontaceae,Trechispora,Unclassified
OTU4287,Fungi,Ascomycota,Orbiliomycetes,Orbiliales,Unclassified,Unclassified,Unclassified
OTU4286,Fungi,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified
OTU4289,,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified
OTU4288,Fungi,Glomeromycota,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified
OTU4291,Fungi,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified
OTU4290,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Pluteaceae,Pluteus,Unclassified
OTU4292,Fungi,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified
OTU4294,Fungi,Ascomycota,Sordariomycetes,Glomerellales,Reticulascaceae,Unclassified,Unclassified
OTU4293,Fungi,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified
OTU4296,Fungi,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified
OTU4297,Fungi,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified
OTU4295,Fungi,Ascomycota,Dothideomycetes,Unclassified,Unclassified,Unclassified,Unclassified
OTU4300,Fungi,Glomeromycota,Glomeromycetes,Unclassified,Unclassified,Unclassified,Unclassified
OTU4298,Fungi,Basidiomycota,Agaricomycetes,Polyporales,Coriolaceae,Postia,Postia_caesia_SH214019.07FU
OTU4299,Fungi,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified
OTU4301,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Psathyrellaceae,Coprinopsis,Coprinopsis_echinospora_SH219013.07FU
OTU4302,Fungi,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified
OTU4303,Fungi,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified
OTU4304,Fungi,Ascomycota,Sordariomycetes,Unclassified,Unclassified,Unclassified,Unclassified
OTU4305,Fungi,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified
OTU4311,Fungi,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified
OTU4306,Fungi,Glomeromycota,Paraglomeromycetes,Paraglomerales,Unclassified,Unclassified,Unclassified
OTU4307,Fungi,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified
OTU4309,Fungi,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified
OTU4308,Fungi,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified
OTU4310,Fungi,Ascomycota,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified
OTU4313,,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified
OTU4312,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Bolbitiaceae,Agrocybe,Unclassified
OTU4315,Fungi,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified
OTU4314,Fungi,Ascomycota,Sordariomycetes,Sordariales,Lasiosphaeriaceae,Unclassified,Unclassified
OTU4317,Fungi,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified
OTU4319,Fungi,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified
OTU4316,Fungi,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified
OTU4318,Fungi,Ascomycota,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified
OTU4320,Fungi,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified
OTU4323,Fungi,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified
OTU4324,Fungi,Ascomycota,Sordariomycetes,Sordariales,Chaetomiaceae,Unclassified,Unclassified
OTU4321,Fungi,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified
OTU4322,Fungi,Basidiomycota,Tremellomycetes,Tremellales,Tremellaceae,Unclassified,Unclassified
OTU4325,Fungi,Ascomycota,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified
OTU4327,Fungi,Glomeromycota,Paraglomeromycetes,Paraglomerales,Unclassified,Unclassified,Unclassified
OTU4328,Fungi,Ascomycota,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified
OTU4326,Fungi,Ascomycota,Eurotiomycetes,Eurotiales,Unclassified,Unclassified,Unclassified
OTU4330,Fungi,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified
OTU4329,Fungi,Ascomycota,Sordariomycetes,Unclassified,Unclassified,Unclassified,Unclassified
OTU4335,Fungi,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified
OTU4333,Fungi,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified
OTU4331,Fungi,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified
OTU4334,Fungi,Basidiomycota,Agaricomycetes,Sebacinales,Unclassified,Unclassified,Unclassified
OTU4332,Fungi,Glomeromycota,Paraglomeromycetes,Paraglomerales,Unclassified,Unclassified,Unclassified
OTU4339,,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified
OTU4338,Fungi,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified
OTU4336,Fungi,Basidiomycota,Agaricomycetes,Sebacinales,Unclassified,Unclassified,Unclassified
OTU4337,Fungi,Glomeromycota,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified
OTU4340,Fungi,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified
OTU4344,Fungi,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified
OTU4343,Protista,Cercozoa,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified
OTU4345,Fungi,Ascomycota,Eurotiomycetes,Unclassified,Unclassified,Unclassified,Unclassified
OTU4341,Fungi,Glomeromycota,Glomeromycetes,Glomerales,Glomeraceae,Glomus,Unclassified
OTU4342,Fungi,Glomeromycota,Glomeromycetes,Glomerales,Glomeraceae,Unclassified,Unclassified
OTU4348,Fungi,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified
OTU4346,Fungi,Mortierellomycota,Mortierellomycetes,Mortierellales,Mortierellaceae,Mortierella,Unclassified
OTU4347,Fungi,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified
OTU4350,Fungi,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified
OTU4349,Fungi,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified
OTU4352,Fungi,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified
OTU4351,Fungi,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified
OTU4355,Fungi,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified
OTU4354,Fungi,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified
OTU4356,Fungi,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified
OTU4353,Fungi,Glomeromycota,Glomeromycetes,Glomerales,Claroideoglomeraceae,Unclassified,Unclassified
OTU4357,Fungi,Basidiomycota,Agaricomycetes,Unclassified,Unclassified,Unclassified,Unclassified
OTU4360,Fungi,Ascomycota,Pezizomycetes,Pezizales,Ascobolaceae,Ascobolus,Unclassified
OTU4358,Fungi,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified
OTU4359,Fungi,Ascomycota,Dothideomycetes,Pleosporales,Unclassified,Unclassified,Unclassified
OTU4362,Fungi,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified
OTU4361,Fungi,Ascomycota,Dothideomycetes,Pleosporales,Sporormiaceae,Sporormiella,Sporormiella_leporina_SH184198.07FU
OTU4363,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Psathyrellaceae,Coprinellus,Unclassified
OTU4364,Fungi,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified
OTU4365,Fungi,Ascomycota,Orbiliomycetes,Orbiliales,Orbiliaceae,Orbilia,Unclassified
OTU4366,Fungi,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified
OTU4367,Fungi,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified
OTU4368,Fungi,Ascomycota,Dothideomycetes,Tubeufiales,Tubeufiaceae,Unclassified,Unclassified
OTU4369,Fungi,Glomeromycota,Paraglomeromycetes,Paraglomerales,Unclassified,Unclassified,Unclassified
OTU4370,Fungi,Glomeromycota,Paraglomeromycetes,Paraglomerales,Paraglomeraceae,Paraglomus,Paraglomus_brasilianum_SH215636.07FU
OTU4371,Fungi,Ascomycota,Dothideomycetes,Pleosporales,Unclassified,Unclassified,Unclassified
OTU4372,Fungi,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified
OTU4373,Fungi,Basidiomycota,Agaricomycetes,Unclassified,Unclassified,Unclassified,Unclassified
OTU4374,Fungi,Basidiomycota,Wallemiomycetes,Wallemiales,Wallemiales_fam_Incertae_sedis,Wallemia,Wallemia_muriae_SH216459.07FU
OTU4376,Fungi,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified
OTU4377,Fungi,Basidiomycota,Agaricomycetes,Corticiales,Corticiaceae,Limonomyces,Unclassified
OTU4379,Fungi,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified
OTU4375,Fungi,Glomeromycota,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified
OTU4378,Fungi,Ascomycota,Pezizomycetes,Pezizales,Pyronemataceae,Unclassified,Unclassified
OTU4380,Fungi,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified
OTU4381,Fungi,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified
OTU4382,Fungi,Glomeromycota,Paraglomeromycetes,Paraglomerales,Paraglomeraceae,Paraglomus,Paraglomus_brasilianum_SH215636.07FU
OTU4383,Fungi,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified
OTU4385,Fungi,Ascomycota,Sordariomycetes,Xylariales,Apiosporaceae,Arthrinium,Arthrinium_sacchari_SH183139.07FU
OTU4384,Fungi,Ascomycota,Dothideomycetes,Pleosporales,Unclassified,Unclassified,Unclassified
OTU4386,Fungi,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified
OTU4387,Fungi,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified
OTU4390,Fungi,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified
OTU4391,Fungi,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified
OTU4389,Fungi,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified
OTU4388,Fungi,Ascomycota,Dothideomycetes,Unclassified,Unclassified,Unclassified,Unclassified
OTU4392,Fungi,Glomeromycota,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified
OTU4394,Fungi,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified
OTU4393,Fungi,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified
OTU4399,Fungi,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified
OTU4396,Fungi,Ascomycota,Pezizomycetes,Pezizales,Ascobolaceae,Ascobolus,Ascobolus_furfuraceus_SH211037.07FU
OTU4397,Fungi,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified
OTU4400,Fungi,Basidiomycota,Agaricostilbomycetes,Agaricostilbales,Kondoaceae,Kondoa,Kondoa_yuccicola_SH197103.07FU
OTU4398,Fungi,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified
OTU4395,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Cortinariaceae,Cortinarius,Unclassified
OTU4401,Fungi,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified
OTU4402,Fungi,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified
OTU4404,,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified
OTU4407,Fungi,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified
OTU4405,Fungi,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified
OTU4403,Fungi,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified
OTU4410,Fungi,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified
OTU4408,Fungi,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified
OTU4406,Fungi,Glomeromycota,Paraglomeromycetes,Paraglomerales,Unclassified,Unclassified,Unclassified
OTU4409,Fungi,Glomeromycota,Paraglomeromycetes,Paraglomerales,Unclassified,Unclassified,Unclassified
OTU4411,Fungi,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified
OTU4412,Protista,Cercozoa,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified
OTU4413,Fungi,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified
OTU4416,Fungi,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified
OTU4417,Fungi,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified
OTU4415,Fungi,Ascomycota,Taphrinomycetes,Taphrinales,Taphrinaceae,Taphrina,Unclassified
OTU4414,Fungi,Glomeromycota,Paraglomeromycetes,Paraglomerales,Unclassified,Unclassified,Unclassified
OTU4420,Fungi,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified
OTU4418,Fungi,Glomeromycota,Glomeromycetes,Glomerales,Unclassified,Unclassified,Unclassified
OTU4419,Fungi,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified
OTU4421,Fungi,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified
OTU4422,Fungi,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified
OTU4423,,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified
OTU4424,Fungi,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified
OTU4427,Fungi,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified
OTU4425,Fungi,Glomeromycota,Paraglomeromycetes,Paraglomerales,Unclassified,Unclassified,Unclassified
OTU4430,Fungi,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified
OTU4429,Fungi,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified
OTU4428,Fungi,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified
OTU4426,Fungi,Glomeromycota,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified
OTU4432,Fungi,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified
OTU4431,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Amanitaceae,Amanita,Unclassified
OTU4433,Fungi,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified
OTU4434,Fungi,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified
OTU4438,Protista,Cercozoa,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified
OTU4435,Fungi,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified
OTU4436,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Psathyrellaceae,Coprinopsis,Unclassified
OTU4439,Fungi,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified
OTU4440,Fungi,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified
OTU4437,Fungi,Ascomycota,Dothideomycetes,Pleosporales,Unclassified,Unclassified,Unclassified
OTU4441,Fungi,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified
OTU4442,Fungi,Ascomycota,Sordariomycetes,Hypocreales,Bionectriaceae,Mycoarachis,Mycoarachis_inversa_SH020575.07FU
OTU4443,Fungi,Glomeromycota,Glomeromycetes,Glomerales,Glomeraceae,Unclassified,Unclassified
OTU4450,Fungi,Ascomycota,Dothideomycetes,Unclassified,Unclassified,Unclassified,Unclassified
OTU4444,Fungi,Ascomycota,Dothideomycetes,Pleosporales,Pleosporaceae,Unclassified,Unclassified
OTU4447,Fungi,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified
OTU4448,Fungi,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified
OTU4445,Fungi,Basidiomycota,Agaricomycetes,Unclassified,Unclassified,Unclassified,Unclassified
OTU4446,Fungi,Ascomycota,Sordariomycetes,Sordariales,Sordariales_fam_Incertae_sedis,Staphylotrichum,Unclassified
OTU4449,Fungi,Glomeromycota,Glomeromycetes,Glomerales,Glomeraceae,Unclassified,Unclassified
OTU4451,Fungi,Glomeromycota,Paraglomeromycetes,Paraglomerales,Unclassified,Unclassified,Unclassified
OTU4452,Fungi,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified
OTU4456,Fungi,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified
OTU4454,Fungi,Basidiomycota,Tremellomycetes,Unclassified,Unclassified,Unclassified,Unclassified
OTU4453,Fungi,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified
OTU4455,Fungi,Glomeromycota,Glomeromycetes,Glomerales,Glomeraceae,Unclassified,Unclassified
OTU4457,Fungi,Glomeromycota,Paraglomeromycetes,Paraglomerales,Unclassified,Unclassified,Unclassified
OTU4459,Fungi,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified
OTU4458,Fungi,Ascomycota,Leotiomycetes,Helotiales,Hyaloscyphaceae,Trichopezizella,Trichopezizella_otanii_SH196512.07FU
OTU4460,Fungi,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified
OTU4461,Fungi,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified
OTU4463,Fungi,Ascomycota,Eurotiomycetes,Onygenales,Onygenaceae,Unclassified,Unclassified
OTU4462,Fungi,Glomeromycota,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified
OTU4464,Fungi,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified
OTU4465,Fungi,Ascomycota,Sordariomycetes,Hypocreales,Unclassified,Unclassified,Unclassified
OTU4469,Fungi,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified
OTU4466,Fungi,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified
OTU4470,Fungi,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified
OTU4467,Fungi,Ascomycota,Dothideomycetes,Dothideomycetidae_ord_Incertae_sedis,Eremomycetaceae,Arthrographis,Unclassified
OTU4468,Fungi,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified
OTU4471,Fungi,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified
OTU4472,,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified
OTU4474,Protista,Cercozoa,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified
OTU4473,Fungi,Basidiomycota,Agaricomycetes,Cantharellales,Ceratobasidiaceae,Unclassified,Unclassified
OTU4476,Fungi,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified
OTU4475,Fungi,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified
OTU4477,Fungi,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified
OTU4478,Fungi,Ascomycota,Sordariomycetes,Unclassified,Unclassified,Unclassified,Unclassified
OTU4480,Fungi,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified
OTU4481,Fungi,Ascomycota,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified
OTU4479,Fungi,Ascomycota,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified
OTU4483,Fungi,Basidiomycota,Exobasidiomycetes,Entylomatales,Entylomatales_fam_Incertae_sedis,Tilletiopsis,Tilletiopsis_washingtonensis_SH186666.07FU
OTU4484,Fungi,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified
OTU4482,Fungi,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified
OTU4487,Fungi,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified
OTU4485,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Pluteaceae,Pluteus,Unclassified
OTU4486,Fungi,Ascomycota,Sordariomycetes,Hypocreales,Ophiocordycipitaceae,Unclassified,Unclassified
OTU4489,,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified
OTU4488,Fungi,Basidiomycota,Tremellomycetes,Filobasidiales,Filobasidiaceae,Naganishia,Unclassified
OTU4490,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Agaricaceae,Macrolepiota,Unclassified
OTU4492,Fungi,Basidiomycota,Ustilaginomycetes,Ustilaginales,Ustilaginaceae,Unclassified,Unclassified
OTU4491,Fungi,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified
OTU4493,Fungi,Ascomycota,Sordariomycetes,Coniochaetales,Coniochaetaceae,Coniochaeta,Unclassified
OTU4496,,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified
OTU4497,Protista,Cercozoa,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified
OTU4499,Fungi,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified
OTU4494,Fungi,Glomeromycota,Paraglomeromycetes,Paraglomerales,Paraglomeraceae,Paraglomus,Paraglomus_brasilianum_SH215636.07FU
OTU4495,Fungi,Glomeromycota,Paraglomeromycetes,Paraglomerales,Unclassified,Unclassified,Unclassified
OTU4498,Fungi,Glomeromycota,Glomeromycetes,Glomerales,Glomeraceae,Unclassified,Unclassified
OTU4501,Fungi,Basidiomycota,Tremellomycetes,Tremellales,Unclassified,Unclassified,Unclassified
OTU4500,Fungi,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified
OTU4502,Fungi,Glomeromycota,Paraglomeromycetes,Paraglomerales,Unclassified,Unclassified,Unclassified
OTU4504,Fungi,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified
OTU4503,Fungi,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified
OTU4505,Fungi,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified
OTU4506,Fungi,Glomeromycota,Paraglomeromycetes,Paraglomerales,Unclassified,Unclassified,Unclassified
OTU4507,Fungi,Ascomycota,Sordariomycetes,Unclassified,Unclassified,Unclassified,Unclassified
OTU4508,Fungi,Glomeromycota,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified
OTU4509,Fungi,Mortierellomycota,Mortierellomycetes,Mortierellales,Mortierellaceae,Mortierella,Unclassified
OTU4510,Fungi,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified
OTU4511,Fungi,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified
OTU4514,Fungi,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified
OTU4513,Fungi,Ascomycota,Sordariomycetes,Xylariales,Apiosporaceae,Arthrinium,Unclassified
OTU4512,Fungi,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified
OTU4515,Fungi,Mortierellomycota,Mortierellomycetes,Mortierellales,Unclassified,Unclassified,Unclassified
OTU4517,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Lycoperdaceae,Unclassified,Unclassified
OTU4516,Fungi,Ascomycota,Sordariomycetes,Hypocreales,Unclassified,Unclassified,Unclassified
OTU4518,Fungi,Ascomycota,Leotiomycetes,Helotiales,Unclassified,Unclassified,Unclassified
OTU4520,Fungi,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified
OTU4519,Fungi,Glomeromycota,Paraglomeromycetes,Paraglomerales,Unclassified,Unclassified,Unclassified
OTU4521,Fungi,Glomeromycota,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified
OTU4522,Fungi,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified
OTU4523,Fungi,Basidiomycota,Tremellomycetes,Unclassified,Unclassified,Unclassified,Unclassified
OTU4524,Fungi,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified
OTU4526,Fungi,Basidiomycota,Agaricomycetes,Boletales,Sclerodermataceae,Scleroderma,Scleroderma_areolatum_SH182469.07FU
OTU4525,Fungi,Glomeromycota,Paraglomeromycetes,Paraglomerales,Unclassified,Unclassified,Unclassified
OTU4527,Fungi,Ascomycota,Eurotiomycetes,Chaetothyriales,Herpotrichiellaceae,Unclassified,Unclassified
OTU4528,Fungi,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified
OTU4529,Fungi,Chytridiomycota,Rhizophydiomycetes,Rhizophydiales,Rhizophydiaceae,Rhizophydium,Unclassified
OTU4531,Fungi,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified
OTU4530,Fungi,Glomeromycota,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified
OTU4532,Fungi,Ascomycota,Sordariomycetes,Coniochaetales,Coniochaetaceae,Coniochaeta,Unclassified
OTU4535,Fungi,Chytridiomycota,Rhizophlyctidomycetes,Rhizophlyctidales,Rhizophlyctidaceae,Rhizophlyctis,Unclassified
OTU4537,Fungi,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified
OTU4533,Fungi,Glomeromycota,Glomeromycetes,Glomerales,Glomeraceae,Unclassified,Unclassified
OTU4534,Fungi,Basidiomycota,Agaricomycetes,Polyporales,Ganodermataceae,Ganoderma,Unclassified
OTU4538,Fungi,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified
OTU4539,Fungi,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified
OTU4536,Fungi,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified
OTU4542,Fungi,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified
OTU4540,Fungi,Ascomycota,Sordariomycetes,Hypocreales,Nectriaceae,Unclassified,Unclassified
OTU4541,Fungi,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified
OTU4546,Fungi,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified
OTU4545,Fungi,Glomeromycota,Glomeromycetes,Glomerales,Unclassified,Unclassified,Unclassified
